ethnic group,count
Total,"27,706"
British (White),"20,037"
Irish (White),235
Any other White Background,851
White and Black Caribbean (Mixed),45
White and Black African (Mixed),15
White and Asian (Mixed),31
Any other Mixed background ,70
Indian (Asian or Asian British),742
Pakistani (Asian or Asian British),470
Bangladeshi (Asian or Asian British),162
Any other Asian background,403
Caribbean (Black or Black British),627
African (Black or Black British),408
Any other Black background ,214
Chinese (other ethnic group),83
Any other ethnic group ,606
Not stated,"2,249"
No match ,458
